"","gene"
"RVBD_0973c","accA2"
"RVBD_0974c","accD2"
"RVBD_0975c","fadE13"
"RVBD_0976c","-"
"RVBD_0977","PE_PGRS16"
"RVBD_0978c","PE_PGRS17"
"RVBD_0979c","-"
"RVBD_0979A","rpmF"
"RVBD_0980c","PE_PGRS18"
"RVBD_0981","mprA"
"RVBD_0982","mprB"
"RVBD_0983","pepD"
"RVBD_0984","moaB2"
"RVBD_0985c","mscL"
"RVBD_0986","-"
"RVBD_0987","-"
"RVBD_0988","-"
"RVBD_0989c","grcC2"
"RVBD_0990c","-"
"RVBD_0991c","-"
"RVBD_0992c","-"
"RVBD_0993","galU"
"RVBD_0994","moeA1"
"RVBD_0995","rimJ"
"RVBD_0996","-"
"RVBD_0996A","?"
"RVBD_0997","-"
"RVBD_0998","-"
"RVBD_0999","-"
"RVBD_1000c","-"
"RVBD_1001","arcA"
"RVBD_1002c","-"
"RVBD_1003","-"
"RVBD_1004c","-"
"RVBD_1005c","pabB"
"RVBD_1006","-"
"RVBD_1007c","metS"
"RVBD_1008","tatD"
"RVBD_1009","rpfB"
"RVBD_1010","ksgA"
"RVBD_1011","ispE"
"RVBD_1012","-"
"RVBD_1013","pks16"
"RVBD_1014c","pth"
"RVBD_1015c","rplY"
"RVBD_1016c","lpqT"
"RVBD_1017c","prsA"
"RVBD_1018c","glmU"
"RVBD_1019","-"
"RVBD_1020","mfd"
"RVBD_1021","-"
"RVBD_1022","lpqU"
"RVBD_1023","eno"
"RVBD_1024","-"
"RVBD_1025","-"
"RVBD_1026","-"
"RVBD_1026A","?"
"RVBD_1027c","kdpE"
"RVBD_1028c","kdpD"
"RVBD_1028X","?"
"RVBD_1029","kdpA"
"RVBD_1030","kdpB"
"RVBD_1031","kdpC"
"RVBD_1032c","trcS"
"RVBD_1033c","trcR"
"RVBD_1034c","-"
"RVBD_1035c","-"
"RVBD_1036c","-"
"RVBD_1037c","esxI"
"RVBD_1038c","esxJ"
"RVBD_1039c","PPE15"
"RVBD_1040c","PE8"
"RVBD_1040Ac","?"
"RVBD_1041c","-"
"RVBD_1043c","-"
"RVBD_1044","-"
"RVBD_1045","-"
"RVBD_1046c","-"
"RVBD_1047","-"
"RVBD_1048c","-"
"RVBD_1048Ac","?"
"RVBD_1049","-"
"RVBD_1050","-"
"RVBD_1051c","-"
"RVBD_1051Ac","?"
"RVBD_1052","-"
"RVBD_1053c","-"
"RVBD_1053A","?"
"RVBD_1054","-"
"RVBD_1055","-"
"RVBD_1056","-"
"RVBD_1057","-"
"RVBD_1058","fadD14"
"RVBD_1059","-"
"RVBD_1060","-"
"RVBD_1061","-"
"RVBD_1062","-"
"RVBD_1063c","-"
"RVBD_1064c","lpqV"
"RVBD_1065","-"
"RVBD_1066","-"
"RVBD_1067c","PE_PGRS19"
"RVBD_1068c","PE_PGRS20"
"RVBD_1068A","?"
"RVBD_1069c","-"
"RVBD_1070c","echA8"
"RVBD_1071c","echA9"
"RVBD_1072","-"
"RVBD_1073","-"
"RVBD_1074c","fadA3"
"RVBD_1075c","-"
"RVBD_1076","lipU"
"RVBD_1077","cbs"
"RVBD_1078","pra"
"RVBD_1079","metB"
"RVBD_1080c","greA"
"RVBD_1081c","-"
"RVBD_1082","mca"
"RVBD_1083","-"
"RVBD_1084","-"
"RVBD_1085c","-"
"RVBD_1086","-"
"RVBD_1087","PE_PGRS21"
"RVBD_1087A","-"
"RVBD_1088","PE9"
"RVBD_1089","PE10"
"RVBD_1089A","celA2a"
"RVBD_1090","celA2b"
"RVBD_1091","PE_PGRS22"
"RVBD_1092c","coaA"
"RVBD_1093","glyA1"
"RVBD_1094","desA2"
"RVBD_1095","phoH2"
"RVBD_1096","-"
"RVBD_1097c","-"
"RVBD_1098c","fum"
"RVBD_1099c","glpX"
"RVBD_1100","-"
"RVBD_1101c","-"
"RVBD_1102c","mazF3"
"RVBD_1103c","mazE3"
"RVBD_1104","-"
"RVBD_1105","-"
"RVBD_1106c","-"
"RVBD_1107c","xseB"
"RVBD_1108c","xseA"
"RVBD_1109c","-"
"RVBD_1110","lytB2"
"RVBD_1111c","-"
"RVBD_1112","-"
"RVBD_1113","vapB32"
"RVBD_1114","vapC32"
"RVBD_1115","-"
"RVBD_1116","-"
"RVBD_1116A","-"
"RVBD_1117","-"
"RVBD_1118c","-"
"RVBD_1119c","-"
"RVBD_1120c","-"
"RVBD_1121","zwf1"
"RVBD_1122","gnd2"
"RVBD_1123c","bpoB"
"RVBD_1124","ephC"
"RVBD_1125","-"
"RVBD_1126c","-"
"RVBD_1127c","ppdK"
"RVBD_1128c","-"
"RVBD_1129c","-"
"RVBD_1130","prpD"
"RVBD_1131","prpC"
"RVBD_1132","-"
"RVBD_1133c","metE"
"RVBD_1134","-"
"RVBD_1135c","PPE16"
"RVBD_1135A","-"
"RVBD_1136","-"
"RVBD_1137c","-"
"RVBD_1138c","-"
"RVBD_1139c","-"
"RVBD_1139Ac","?"
"RVBD_1140","-"
"RVBD_1141c","echA11"
"RVBD_1142c","echA10"
"RVBD_1143","mcr"
"RVBD_1144","-"
"RVBD_1144Ac","?"
"RVBD_1145","mmpL13a"
"RVBD_1146","mmpL13b"
"RVBD_1147","-"
"RVBD_1147A","?"
"RVBD_1148c","-"
"RVBD_1151c","-"
"RVBD_1152","-"
"RVBD_1153c","omt"
"RVBD_1154c","-"
"RVBD_1155","-"
"RVBD_1155A","?"
"RVBD_1156","-"
"RVBD_1156A","?"
"RVBD_1157c","-"
"RVBD_1158c","-"
"RVBD_1159","pimE"
"RVBD_1159A","-"
"RVBD_1160","mutT2"
"RVBD_1161","narG"
"RVBD_1162","narH"
"RVBD_1163","narJ"
"RVBD_1164","narI"
"RVBD_1165","typA"
"RVBD_1166","lpqW"
"RVBD_1167c","-"
"RVBD_1168c","PPE17"
"RVBD_1169c","lipX"
"RVBD_1170","mshB"
"RVBD_1170A","?"
"RVBD_1171","-"
"RVBD_1172c","PE12"
"RVBD_1173","fbiC"
"RVBD_1174c","TB8.4"
"RVBD_1175c","fadH"
"RVBD_1176c","-"
"RVBD_1177","fdxC"
"RVBD_1178","-"
"RVBD_1179c","-"
"RVBD_1181","pks4"
"RVBD_1182","papA3"
"RVBD_1183","mmpL10"
"RVBD_1184c","-"
"RVBD_1185c","fadD21"
"RVBD_1186c","-"
"RVBD_1187","rocA"
"RVBD_1188","-"
"RVBD_1189","sigI"
"RVBD_1190","-"
"RVBD_1191","-"
"RVBD_1192","-"
"RVBD_1193","fadD36"
"RVBD_1194c","-"
"RVBD_1195","PE13"
"RVBD_1196","PPE18"
"RVBD_1197","esxK"
"RVBD_1198","esxL"
"RVBD_1199c","-"
"RVBD_1200","-"
"RVBD_1201c","dapD"
"RVBD_1202","dapE"
"RVBD_1203c","-"
"RVBD_1204c","-"
"RVBD_1205","-"
"RVBD_1206","fadD6"
"RVBD_1207","folP2"
"RVBD_1208","gpgS"
"RVBD_1209","-"
"RVBD_1210","tagA"
"RVBD_1211","-"
"RVBD_1212c","glgA"
"RVBD_1213","glgC"
"RVBD_1214c","PE14"
"RVBD_1215c","-"
"RVBD_1216c","-"
"RVBD_1217c","-"
"RVBD_1218c","-"
"RVBD_1219c","-"
"RVBD_1220c","-"
"RVBD_1221","sigE"
"RVBD_1222","rseA"
"RVBD_1223","htrA"
"RVBD_1224","tatB"
"RVBD_1225c","-"
"RVBD_1226c","-"
"RVBD_1227c","-"
"RVBD_1228","lpqX"
"RVBD_1229c","mrp"
"RVBD_1230c","-"
"RVBD_1231c","-"
"RVBD_1232c","-"
"RVBD_1233c","-"
"RVBD_1234","-"
"RVBD_1235","lpqY"
"RVBD_1236","sugA"
"RVBD_1237","sugB"
"RVBD_1238","sugC"
"RVBD_1239c","corA"
"RVBD_1240","mdh"
"RVBD_1241","vapB33"
"RVBD_1242","vapC33"
"RVBD_1243c","PE_PGRS23"
"RVBD_1244","lpqZ"
"RVBD_1245c","-"
"RVBD_1246c","relE"
"RVBD_1247c","relB"
"RVBD_1248c","-"
"RVBD_1249c","-"
"RVBD_1250","-"
"RVBD_1251c","-"
"RVBD_1252c","lprE"
"RVBD_1253","deaD"
"RVBD_1254","-"
"RVBD_1255c","-"
"RVBD_1256c","cyp130"
"RVBD_1257c","-"
"RVBD_1258c","-"
"RVBD_1259","udgB"
"RVBD_1260","-"
"RVBD_1261c","-"
"RVBD_1262c","-"
"RVBD_1263","amiB2"
"RVBD_1264","-"
"RVBD_1265","-"
"RVBD_1266c","pknH"
"RVBD_1267c","embR"
"RVBD_1268c","-"
"RVBD_1269c","-"
"RVBD_1270c","lprA"
"RVBD_1271c","-"
"RVBD_1272c","-"
"RVBD_1273c","-"
"RVBD_1274","lprB"
"RVBD_1275","lprC"
"RVBD_1276c","-"
"RVBD_1277","-"
"RVBD_1278","-"
"RVBD_1279","-"
"RVBD_1280c","oppA"
"RVBD_1281c","oppD"
"RVBD_1282c","oppC"
"RVBD_1283c","oppB"
"RVBD_1284","canA"
"RVBD_1285","cysD"
"RVBD_1286","cysN"
"RVBD_1287","-"
"RVBD_1288","-"
"RVBD_1289","-"
"RVBD_1290c","-"
"RVBD_1290A","-"
"RVBD_1291c","-"
"RVBD_1292","argS"
"RVBD_1293","lysA"
"RVBD_1294","thrA"
"RVBD_1295","thrC"
"RVBD_1295A","?"
"RVBD_1296","thrB"
"RVBD_1297","rho"
"RVBD_1298","rpmE"
"RVBD_1299","prfA"
"RVBD_1300","hemK"
"RVBD_1301","-"
"RVBD_1302","rfe"
"RVBD_1303","-"
"RVBD_1304","atpB"
"RVBD_1305","atpE"
"RVBD_1306","atpF"
"RVBD_1307","atpH"
"RVBD_1308","atpA"
"RVBD_1309","atpG"
"RVBD_1310","atpD"
"RVBD_1311","atpC"
"RVBD_1312","-"
"RVBD_1313c","-"
"RVBD_1314c","-"
"RVBD_1315","murA"
"RVBD_1316c","ogt"
"RVBD_1317c","alkA"
"RVBD_1318c","-"
"RVBD_1319c","-"
"RVBD_1320c","-"
"RVBD_1321","-"
"RVBD_1322","-"
"RVBD_1322A","-"
"RVBD_1323","fadA4"
"RVBD_1324","-"
"RVBD_1325c","PE_PGRS24"
"RVBD_1326c","glgB"
"RVBD_1327c","glgE"
"RVBD_1328","glgP"
"RVBD_1329c","dinG"
"RVBD_1330c","pncB1"
"RVBD_1331","-"
"RVBD_1332","-"
"RVBD_1333","-"
"RVBD_1334","mec"
"RVBD_1335","cysO"
"RVBD_1336","cysM"
"RVBD_1337","-"
"RVBD_1338","murI"
"RVBD_1339","-"
"RVBD_1340","rphA"
"RVBD_1341","-"
"RVBD_1342c","-"
"RVBD_1343c","lprD"
"RVBD_1344","mbtL"
"RVBD_1345","mbtM"
"RVBD_1346","mbtN"
"RVBD_1347c","mbtK"
"RVBD_1348","irtA"
"RVBD_1349","irtB"
"RVBD_1350","fabG2"
"RVBD_1351","-"
"RVBD_1352","-"
"RVBD_1353c","-"
"RVBD_1354c","-"
"RVBD_1355c","moeY"
"RVBD_1356c","-"
"RVBD_1357c","-"
"RVBD_1357Ac","?"
"RVBD_1358","-"
"RVBD_1359","-"
"RVBD_1359Ac","?"
"RVBD_1360","-"
"RVBD_1361c","PPE19"
"RVBD_1362c","-"
"RVBD_1363c","-"
"RVBD_1364c","-"
"RVBD_1365c","rsfA"
"RVBD_1366","-"
"RVBD_1367c","-"
"RVBD_1368","lprF"
"RVBD_1369c","-"
"RVBD_1370c","-"
"RVBD_1371","-"
"RVBD_1372","-"
"RVBD_1373","-"
"RVBD_1374c","-"
"RVBD_1375","-"
"RVBD_1376","-"
"RVBD_1377c","-"
"RVBD_1378c","-"
"RVBD_1379","pyrR"
"RVBD_1380","pyrB"
"RVBD_1381","pyrC"
"RVBD_1382","-"
"RVBD_1383","carA"
"RVBD_1384","carB"
"RVBD_1385","pyrF"
"RVBD_1386","PE15"
"RVBD_1387","PPE20"
"RVBD_1388","mihF"
"RVBD_1389","gmk"
"RVBD_1390","rpoZ"
"RVBD_1391","dfp"
"RVBD_1392","metK"
"RVBD_1393c","-"
"RVBD_1394c","cyp132"
"RVBD_1395","-"
"RVBD_1396c","PE_PGRS25"
"RVBD_1397c","vapC10"
"RVBD_1398c","vapB10"
"RVBD_1399c","nlhH"
"RVBD_1400c","lipI"
"RVBD_1401","-"
"RVBD_1402","priA"
"RVBD_1403c","-"
"RVBD_1404","-"
"RVBD_1405c","-"
"RVBD_1406","fmt"
"RVBD_1407","fmu"
"RVBD_1408","rpe"
"RVBD_1409","ribG"
"RVBD_1410c","-"
"RVBD_1411c","lprG"
"RVBD_1412","ribC"
"RVBD_1413","-"
"RVBD_1414","-"
"RVBD_1415","ribA2"
"RVBD_1416","ribH"
"RVBD_1417","-"
"RVBD_1418","lprH"
"RVBD_1419","-"
"RVBD_1420","uvrC"
"RVBD_1421","-"
"RVBD_1422","-"
"RVBD_1423","whiA"
"RVBD_1424c","-"
"RVBD_1425","-"
"RVBD_1426c","lipO"
"RVBD_1427c","fadD12"
"RVBD_1428c","-"
"RVBD_1429","-"
"RVBD_1430","PE16"
"RVBD_1431","-"
"RVBD_1432","-"
"RVBD_1433","-"
"RVBD_1434","-"
"RVBD_1435c","-"
"RVBD_1436","gap"
"RVBD_1437","pgk"
"RVBD_1438","tpi"
"RVBD_1439c","-"
"RVBD_1439A","?"
"RVBD_1440","secG"
"RVBD_1441c","PE_PGRS26"
"RVBD_1442","bisC"
"RVBD_1443c","-"
"RVBD_1443A","?"
"RVBD_1443Bc","?"
"RVBD_1444c","-"
"RVBD_1445c","devB"
"RVBD_1446c","opcA"
"RVBD_1447c","zwf2"
"RVBD_1448c","tal"
"RVBD_1449c","tkt"
"RVBD_1450c","PE_PGRS27"
"RVBD_1451","ctaB"
"RVBD_1452c","PE_PGRS28"
"RVBD_1453","-"
"RVBD_1454c","qor"
"RVBD_1455","-"
"RVBD_1456c","-"
"RVBD_1457c","-"
"RVBD_1458c","-"
"RVBD_1459c","-"
"RVBD_1460","-"
"RVBD_1461","-"
"RVBD_1462","-"
"RVBD_1463","-"
"RVBD_1464","csd"
"RVBD_1465","-"
"RVBD_1466","-"
"RVBD_1467c","fadE15"
"RVBD_1468c","PE_PGRS29"
"RVBD_1469","ctpD"
"RVBD_1470","trxA"
"RVBD_1471","trxB1"
"RVBD_1472","echA12"
"RVBD_1473","-"
"RVBD_1473A","-"
"RVBD_1474c","-"
"RVBD_1475c","acn"
"RVBD_1476","-"
"RVBD_1477","ripA"
"RVBD_1478","-"
"RVBD_1479","moxR1"
"RVBD_1480","-"
"RVBD_1481","-"
"RVBD_1482c","-"
"RVBD_1483","fabG1"
"RVBD_1484","inhA"
"RVBD_1485","hemZ"
"RVBD_1486c","-"
"RVBD_1487","-"
"RVBD_1488","-"
"RVBD_1489","-"
"RVBD_1489A","-"
"RVBD_1490","-"
"RVBD_1491c","-"
"RVBD_1492","mutA"
"RVBD_1493","mutB"
"RVBD_1494","mazE4"
"RVBD_1495","mazF4"
"RVBD_1496","-"
"RVBD_1497","lipL"
"RVBD_1498c","-"
"RVBD_1498A","-"
"RVBD_1499","-"
"RVBD_1500","-"
"RVBD_1501","-"
"RVBD_1502","-"
"RVBD_1505c","-"
"RVBD_1506c","-"
"RVBD_1507c","-"
"RVBD_1507A","-"
"RVBD_1508c","-"
"RVBD_1508A","-"
"RVBD_1509","-"
"RVBD_1510","-"
"RVBD_1510A","?"
"RVBD_1511","gmdA"
"RVBD_1512","epiA"
"RVBD_1513","-"
"RVBD_1514c","-"
"RVBD_1515c","-"
"RVBD_1516c","-"
"RVBD_1517","-"
"RVBD_1518","-"
"RVBD_1519","-"
"RVBD_1520","-"
"RVBD_1520Ac","?"
"RVBD_1521","fadD25"
"RVBD_1522c","mmpL12"
"RVBD_1523","-"
"RVBD_1524","-"
"RVBD_1525","wbbL2"
"RVBD_1526c","-"
"RVBD_1527c","pks5"
"RVBD_1528c","papA4"
"RVBD_1529","fadD24"
"RVBD_1530","adh"
"RVBD_1531","-"
"RVBD_1532c","-"
"RVBD_1533","-"
"RVBD_1534","-"
"RVBD_1535","-"
"RVBD_1536","ileS"
"RVBD_1537","dinX"
"RVBD_1538c","ansA"
"RVBD_1539","lspA"
"RVBD_1540","-"
"RVBD_1541c","lprI"
"RVBD_1542c","glbN"
"RVBD_1543","-"
"RVBD_1544","-"
"RVBD_1545","-"
"RVBD_1546","-"
"RVBD_1547","dnaE1"
"RVBD_1548c","PPE21"
"RVBD_1549","fadD11.1"
"RVBD_1550","fadD11"
"RVBD_1551","plsB1"
"RVBD_1551A","?"
"RVBD_1552","frdA"
"RVBD_1553","frdB"
"RVBD_1554","frdC"
"RVBD_1555","frdD"
"RVBD_1556","-"
"RVBD_1557","mmpL6"
"RVBD_1558","-"
"RVBD_1559","ilvA"
"RVBD_1560","vapB11"
"RVBD_1561","vapC11"
"RVBD_1562c","treZ"
"RVBD_1563c","treY"
"RVBD_1564c","treX"
"RVBD_1565c","-"
"RVBD_1566c","-"
"RVBD_1567c","-"
"RVBD_1568","bioA"
"RVBD_1569","bioF1"
"RVBD_1570","bioD"
"RVBD_1571","-"
"RVBD_1572c","-"
"RVBD_1573","-"
"RVBD_1574","-"
"RVBD_1576c","-"
"RVBD_1577c","-"
"RVBD_1578c","-"
"RVBD_1579c","-"
"RVBD_1580c","-"
"RVBD_1581c","-"
"RVBD_1581Ac","?"
"RVBD_1582c","-"
"RVBD_1583c","-"
"RVBD_1584c","-"
"RVBD_1585c","-"
"RVBD_1586c","-"
"RVBD_1587c","-"
"RVBD_1588c","-"
"RVBD_1589","bioB"
"RVBD_1590","-"
"RVBD_1591","-"
"RVBD_1592c","-"
"RVBD_1593c","-"
"RVBD_1594","nadA"
"RVBD_1595","nadB"
"RVBD_1596","nadC"
"RVBD_1597","-"
"RVBD_1598c","-"
"RVBD_1599","hisD"
"RVBD_1600","hisC1"
"RVBD_1601","hisB"
"RVBD_1602","hisH"
"RVBD_1603","hisA"
"RVBD_1604","impA"
"RVBD_1605","hisF"
"RVBD_1606","hisI"
"RVBD_1607","chaA"
"RVBD_1608c","bcpB"
"RVBD_1609","trpE"
"RVBD_1610","-"
"RVBD_1611","trpC"
"RVBD_1612","trpB"
"RVBD_1613","trpA"
"RVBD_1614","lgt"
"RVBD_1615","-"
"RVBD_1616","-"
"RVBD_1617","pykA"
"RVBD_1618","tesB1"
"RVBD_1619","-"
"RVBD_1620c","cydC"
"RVBD_1621c","cydD"
"RVBD_1622c","cydB"
"RVBD_1623c","cydA"
"RVBD_1624c","-"
"RVBD_1625c","cya"
"RVBD_1626","-"
"RVBD_1627c","-"
"RVBD_1628c","-"
"RVBD_1629","polA"
"RVBD_1630","rpsA"
"RVBD_1631","coaE"
"RVBD_1632c","-"
"RVBD_1633","uvrB"
"RVBD_1634","-"
"RVBD_1635c","-"
"RVBD_1635A","?"
"RVBD_1636","TB15.3"
"RVBD_1637c","-"
"RVBD_1638","uvrA"
"RVBD_1638A","-"
"RVBD_1639c","-"
"RVBD_1640c","lysX"
"RVBD_1641","infC"
"RVBD_1642","rpmI"
"RVBD_1643","rplT"
"RVBD_1644","tsnR"
"RVBD_1645c","-"
"RVBD_1646","PE17"
"RVBD_1647","-"
"RVBD_1648","-"
"RVBD_1649","pheS"
"RVBD_1650","pheT"
"RVBD_1651c","PE_PGRS30"
"RVBD_1652","argC"
"RVBD_1653","argJ"
"RVBD_1654","argB"
"RVBD_1655","argD"
"RVBD_1656","argF"
"RVBD_1657","argR"
"RVBD_1658","argG"
"RVBD_1659","argH"
"RVBD_1660","pks10"
"RVBD_1661","pks7"
"RVBD_1662","pks8"
"RVBD_1663","pks17"
"RVBD_1664","pks9"
"RVBD_1665","pks11"
"RVBD_1666c","cyp139"
"RVBD_1667c","-"
"RVBD_1668c","-"
"RVBD_1669","-"
"RVBD_1670","-"
"RVBD_1671","-"
"RVBD_1672c","-"
"RVBD_1673c","-"
"RVBD_1674c","-"
"RVBD_1674A","?"
"RVBD_1675c","cmr"
"RVBD_1676","-"
"RVBD_1677","dsbF"
"RVBD_1678","-"
"RVBD_1679","fadE16"
"RVBD_1680","-"
"RVBD_1681","moeX"
"RVBD_1682","-"
"RVBD_1683","-"
"RVBD_1684","-"
"RVBD_1685c","-"
"RVBD_1686c","-"
"RVBD_1687c","-"
"RVBD_1688","mpg"
"RVBD_1689","tyrS"
"RVBD_1690","lprJ"
"RVBD_1691","-"
"RVBD_1692","-"
"RVBD_1693","-"
"RVBD_1694","tlyA"
"RVBD_1695","ppnK"
"RVBD_1696","recN"
"RVBD_1697","-"
"RVBD_1698","mctB"
"RVBD_1699","pyrG"
"RVBD_1700","-"
"RVBD_1701","-"
"RVBD_1702c","-"
"RVBD_1702Ac","?"
"RVBD_1703c","-"
"RVBD_1704c","cycA"
"RVBD_1705c","PPE22"
"RVBD_1706c","PPE23"
"RVBD_1706Xc","?"
"RVBD_1706A","-"
"RVBD_1707","-"
"RVBD_1708","-"
"RVBD_1709","scpA"
"RVBD_1710","scpB"
"RVBD_1711","-"
"RVBD_1712","cmk"
"RVBD_1713","engA"
"RVBD_1714","-"
"RVBD_1715","fadB3"
"RVBD_1716","-"
"RVBD_1717","-"
"RVBD_1718","-"
"RVBD_1719","-"
"RVBD_1719A","?"
"RVBD_1720c","vapC12"
"RVBD_1721c","vapB12"
"RVBD_1722","-"
"RVBD_1723","-"
"RVBD_1724c","-"
"RVBD_1725c","-"
"RVBD_1726","-"
"RVBD_1727","-"
"RVBD_1728c","-"
"RVBD_1729c","-"
"RVBD_1730c","-"
"RVBD_1731","gabD2"
"RVBD_1732c","-"
"RVBD_1733c","-"
"RVBD_1733A","?"
"RVBD_1734c","-"
"RVBD_1735c","-"
"RVBD_1735Ac","?"
"RVBD_1736c","narX"
"RVBD_1737c","narK2"
"RVBD_1738","-"
"RVBD_1739c","-"
"RVBD_1740","vapB34"
"RVBD_1741","vapC34"
"RVBD_1742","-"
"RVBD_1743","pknE"
"RVBD_1744c","-"
"RVBD_1745c","idi"
"RVBD_1746","pknF"
"RVBD_1747","-"
"RVBD_1748","-"
"RVBD_1749c","-"
"RVBD_1750c","fadD1"
"RVBD_1751","-"
"RVBD_1752","-"
"RVBD_1753c","PPE24"
"RVBD_1754c","-"
"RVBD_1755c","plcD"
"RVBD_1756c","-"
"RVBD_1757c","-"
"RVBD_1758","cut1"
"RVBD_1759c","wag22"
"RVBD_1760","-"
"RVBD_1761c","-"
"RVBD_1762c","-"
"RVBD_1762Ac","?"
"RVBD_1763","-"
"RVBD_1764","-"
"RVBD_1765c","-"
"RVBD_1765A","-"
"RVBD_1766","-"
"RVBD_1767","-"
"RVBD_1768","PE_PGRS31"
"RVBD_1769","-"
"RVBD_1770","-"
"RVBD_1771","-"
"RVBD_1772","-"
"RVBD_1773c","-"
"RVBD_1774","-"
"RVBD_1775","-"
"RVBD_1776c","-"
"RVBD_1777","cyp144"
"RVBD_1778c","-"
"RVBD_1779c","-"
"RVBD_1780","-"
"RVBD_1781c","malQ"
"RVBD_1782","eccB5"
"RVBD_1784","?"
"RVBD_1785c","cyp143"
"RVBD_1786","-"
"RVBD_1787","PPE25"
"RVBD_1788","PE18"
"RVBD_1789","PPE26"
"RVBD_1790","PPE27"
"RVBD_1791","PE19"
"RVBD_1792","?"
"RVBD_1792A","?"
"RVBD_1793","esxN"
"RVBD_1794","-"
"RVBD_1795","eccD5"
"RVBD_1796","mycP5"
"RVBD_1797","eccE5"
"RVBD_1798","eccA5"
"RVBD_1799","lppT"
"RVBD_1800","PPE28"
"RVBD_1801","PPE29"
"RVBD_1802","PPE30"
"RVBD_1803c","PE_PGRS32"
"RVBD_1804c","-"
"RVBD_1805c","-"
"RVBD_1806","PE20"
"RVBD_1807","PPE31"
"RVBD_1808","PPE32"
"RVBD_1809","PPE33"
"RVBD_1810","-"
"RVBD_1811","mgtC"
"RVBD_1812c","-"
"RVBD_1813c","-"
"RVBD_1814","erg3"
"RVBD_1815","-"
"RVBD_1816","-"
"RVBD_1817","-"
"RVBD_1818c","PE_PGRS33"
"RVBD_1819c","bacA"
"RVBD_1820","ilvG"
"RVBD_1821","secA2"
"RVBD_1822","pgsA2"
"RVBD_1823","-"
"RVBD_1824","-"
"RVBD_1825","-"
"RVBD_1826","gcvH"
"RVBD_1827","garA"
"RVBD_1828","-"
"RVBD_1829","-"
"RVBD_1830","-"
"RVBD_1831","-"
"RVBD_1832","gcvB"
"RVBD_1833c","-"
"RVBD_1834","lipZ"
"RVBD_1835c","-"
"RVBD_1836c","-"
"RVBD_1837c","glcB"
"RVBD_1838c","vapC13"
"RVBD_1839c","vapB13"
"RVBD_1840c","PE_PGRS34"
"RVBD_1841c","-"
"RVBD_1842c","-"
"RVBD_1843c","guaB1"
"RVBD_1844c","gnd1"
"RVBD_1845c","blaR"
"RVBD_1846c","blaI"
"RVBD_1847","-"
"RVBD_1848","ureA"
"RVBD_1849","ureB"
"RVBD_1850","ureC"
"RVBD_1851","ureF"
"RVBD_1852","ureG"
"RVBD_1853","ureD"
"RVBD_1854c","ndh"
"RVBD_1855c","-"
"RVBD_1856c","-"
"RVBD_1857","modA"
"RVBD_1858","modB"
"RVBD_1859","modC"
"RVBD_1860","apa"
"RVBD_1861","-"
"RVBD_1862","adhA"
"RVBD_1863c","-"
"RVBD_1864c","-"
"RVBD_1865c","-"
"RVBD_1866","-"
"RVBD_1867","-"
"RVBD_1868","-"
"RVBD_1869c","-"
"RVBD_1870c","-"
"RVBD_1871c","-"
"RVBD_1872c","lldD2"
"RVBD_1873","-"
"RVBD_1874","-"
"RVBD_1875","-"
"RVBD_1876","bfrA"
"RVBD_1877","-"
"RVBD_1878","glnA3"
"RVBD_1879","-"
"RVBD_1880c","cyp140"
"RVBD_1881c","lppE"
"RVBD_1882c","-"
"RVBD_1883c","-"
"RVBD_1884c","rpfC"
"RVBD_1885c","-"
"RVBD_1886c","fbpB"
"RVBD_1886A","?"
"RVBD_1887","-"
"RVBD_1888c","-"
"RVBD_1888A","-"
"RVBD_1889c","-"
"RVBD_1890c","-"
"RVBD_1891","-"
"RVBD_1892","-"
"RVBD_1893","-"
"RVBD_1894c","-"
"RVBD_1894A","?"
"RVBD_1895","-"
"RVBD_1896c","-"
"RVBD_1897c","-"
"RVBD_1898","-"
"RVBD_1899c","lppD"
"RVBD_1900c","lipJ"
"RVBD_1901","cinA"
"RVBD_1902c","nanT"
"RVBD_1903","-"
"RVBD_1904","-"
"RVBD_1905c","aao"
"RVBD_1906c","-"
"RVBD_1907c","-"
"RVBD_1908c","katG"
"RVBD_1909c","furA"
"RVBD_1910c","-"
"RVBD_1911c","lppC"
"RVBD_1912c","fadB5"
"RVBD_1913","-"
"RVBD_1914c","-"
"RVBD_1915","aceAa"
"RVBD_1916","aceAb"
"RVBD_1917c","PPE34"
"RVBD_1918c","PPE35"
"RVBD_1919c","-"
"RVBD_1920","-"
"RVBD_1921c","lppF"
"RVBD_1922","-"
"RVBD_1923","lipD"
"RVBD_1924c","-"
"RVBD_1925","fadD31"
"RVBD_1926c","mpt63"
"RVBD_1927","-"
"RVBD_1928c","-"
"RVBD_1929c","-"
"RVBD_1930c","-"
"RVBD_1931c","-"
"RVBD_1932","tpx"
"RVBD_1933c","fadE18"
"RVBD_1934c","fadE17"
"RVBD_1935c","echA13"
"RVBD_1936","-"
"RVBD_1937","-"
"RVBD_1938","ephB"
"RVBD_1939","-"
"RVBD_1940","ribA1"
"RVBD_1941","-"
"RVBD_1942c","mazF5"
"RVBD_1943c","mazE5"
"RVBD_1944c","-"
"RVBD_1945","-"
"RVBD_1946c","lppG"
"RVBD_1947","-"
"RVBD_1948c","-"
"RVBD_1949c","-"
"RVBD_1950c","-"
"RVBD_1951c","-"
"RVBD_1952","vapB14"
"RVBD_1953","vapC14"
"RVBD_1954c","-"
