"","gene"
"RVBD_0227c","-"
"RVBD_0228","-"
"RVBD_0229c","-"
"RVBD_0229Ac","?"
"RVBD_0230c","php"
"RVBD_0231","fadE4"
"RVBD_0232","-"
"RVBD_0233","nrdB"
"RVBD_0234c","gabD1"
"RVBD_0235c","-"
"RVBD_0236c","aftD"
"RVBD_0236A","-"
"RVBD_0237","lpqI"
"RVBD_0238","-"
"RVBD_0239","vapB24"
"RVBD_0240","vapC24"
"RVBD_0241c","htdX"
"RVBD_0242c","fabG4"
"RVBD_0243","fadA2"
"RVBD_0244c","fadE5"
"RVBD_0245","-"
"RVBD_0246","-"
"RVBD_0247c","-"
"RVBD_0248c","-"
"RVBD_0249c","-"
"RVBD_0250c","-"
"RVBD_0251c","hsp"
"RVBD_0252","nirB"
"RVBD_0253","nirD"
"RVBD_0254c","cobU"
"RVBD_0255c","cobQ1"
"RVBD_0256c","PPE2"
"RVBD_0257","-"
"RVBD_0258c","-"
"RVBD_0259c","-"
"RVBD_0260c","-"
"RVBD_0261c","narK3"
"RVBD_0262c","aac"
"RVBD_0263c","-"
"RVBD_0264c","-"
"RVBD_0265c","-"
"RVBD_0266c","oplA"
"RVBD_0267","narU"
"RVBD_0268c","-"
"RVBD_0269c","-"
"RVBD_0270","fadD2"
"RVBD_0271c","fadE6"
"RVBD_0272c","-"
"RVBD_0273c","-"
"RVBD_0274","-"
"RVBD_0275c","-"
"RVBD_0276","-"
"RVBD_0277c","vapC25"
"RVBD_0277Ac","?"
"RVBD_0278c","PE_PGRS3"
"RVBD_0279c","PE_PGRS4"
"RVBD_0279A","?"
"RVBD_0280","PPE3"
"RVBD_0281","-"
"RVBD_0282","eccA3"
"RVBD_0283","eccB3"
"RVBD_0284","eccC3"
"RVBD_0285","PE5"
"RVBD_0286","PPE4"
"RVBD_0287","esxG"
"RVBD_0288","esxH"
"RVBD_0289","espG3"
"RVBD_0290","eccD3"
"RVBD_0291","mycP3"
"RVBD_0292","eccE3"
"RVBD_0293c","-"
"RVBD_0294","tam"
"RVBD_0295c","-"
"RVBD_0296c","-"
"RVBD_0297","PE_PGRS5"
"RVBD_0298","-"
"RVBD_0299","-"
"RVBD_0300","vapB2"
"RVBD_0301","vapC2"
"RVBD_0302","-"
"RVBD_0303","-"
"RVBD_0304c","PPE5"
"RVBD_0305c","PPE6"
"RVBD_0306","-"
"RVBD_0307c","-"
"RVBD_0308","-"
"RVBD_0309","-"
"RVBD_0310c","-"
"RVBD_0311","-"
"RVBD_0312","-"
"RVBD_0313","-"
"RVBD_0314c","-"
"RVBD_0315","-"
"RVBD_0316","-"
"RVBD_0317c","glpQ2"
"RVBD_0318c","-"
"RVBD_0319","pcp"
"RVBD_0320","-"
"RVBD_0321","dcd"
"RVBD_0322","udgA"
"RVBD_0323c","-"
"RVBD_0324","-"
"RVBD_0325","-"
"RVBD_0326","-"
"RVBD_0327c","cyp135A1"
"RVBD_0328","-"
"RVBD_0329c","-"
"RVBD_0330c","-"
"RVBD_0331","-"
"RVBD_0332","-"
"RVBD_0333","-"
"RVBD_0334","rmlA"
"RVBD_0335c","PE6"
"RVBD_0336","-"
"RVBD_0337c","aspC"
"RVBD_0338c","-"
"RVBD_0339c","-"
"RVBD_0340","-"
"RVBD_0341","iniB"
"RVBD_0342","iniA"
"RVBD_0343","iniC"
"RVBD_0344c","lpqJ"
"RVBD_0345","-"
"RVBD_0346c","ansP2"
"RVBD_0347","-"
"RVBD_0348","-"
"RVBD_0349","-"
"RVBD_0350","dnaK"
"RVBD_0351","grpE"
"RVBD_0352","dnaJ1"
"RVBD_0353","hspR"
"RVBD_0354c","PPE7"
"RVBD_0355c","PPE8"
"RVBD_0356c","-"
"RVBD_0357c","purA"
"RVBD_0358","-"
"RVBD_0359","-"
"RVBD_0360c","-"
"RVBD_0361","-"
"RVBD_0362","mgtE"
"RVBD_0363c","fba"
"RVBD_0364","-"
"RVBD_0365c","-"
"RVBD_0366c","-"
"RVBD_0367c","-"
"RVBD_0368c","-"
"RVBD_0369c","-"
"RVBD_0370c","-"
"RVBD_0371c","-"
"RVBD_0372c","-"
"RVBD_0373c","-"
"RVBD_0374c","-"
"RVBD_0375c","-"
"RVBD_0376c","-"
"RVBD_0377","-"
"RVBD_0378","-"
"RVBD_0379","secE2"
"RVBD_0380c","-"
"RVBD_0381c","-"
"RVBD_0382c","pyrE"
"RVBD_0383c","-"
"RVBD_0384c","clpB"
"RVBD_0385","-"
"RVBD_0386","-"
"RVBD_0387c","-"
"RVBD_0389","purT"
"RVBD_0390","-"
"RVBD_0391","metZ"
"RVBD_0392c","ndhA"
"RVBD_0393","-"
"RVBD_0394c","-"
"RVBD_0395","-"
"RVBD_0396","-"
"RVBD_0397","-"
"RVBD_0397A","-"
"RVBD_0398c","-"
"RVBD_0399c","lpqK"
"RVBD_0400c","fadE7"
"RVBD_0401","-"
"RVBD_0402c","mmpL1"
"RVBD_0403c","mmpS1"
"RVBD_0404","fadD30"
"RVBD_0405","pks6"
"RVBD_0406c","-"
"RVBD_0407","fgd1"
"RVBD_0408","pta"
"RVBD_0409","ackA"
"RVBD_0410c","pknG"
"RVBD_0411c","glnH"
"RVBD_0412c","-"
"RVBD_0413","mutT3"
"RVBD_0414c","thiE"
"RVBD_0415","thiO"
"RVBD_0416","thiS"
"RVBD_0417","thiG"
"RVBD_0418","lpqL"
"RVBD_0419","lpqM"
"RVBD_0420c","-"
"RVBD_0421c","-"
"RVBD_0422c","thiD"
"RVBD_0423c","thiC"
"RVBD_0424c","-"
"RVBD_0425c","ctpH"
"RVBD_0426c","-"
"RVBD_0427c","xthA"
"RVBD_0428c","-"
"RVBD_0429c","def"
"RVBD_0430","-"
"RVBD_0431","-"
"RVBD_0432","sodC"
"RVBD_0433","-"
"RVBD_0434","-"
"RVBD_0435c","-"
"RVBD_0436c","pssA"
"RVBD_0437c","psd"
"RVBD_0438c","moeA2"
"RVBD_0439c","-"
"RVBD_0440","groEL2"
"RVBD_0441c","-"
"RVBD_0442c","PPE10"
"RVBD_0443","-"
"RVBD_0444c","rskA"
"RVBD_0445c","sigK"
"RVBD_0446c","-"
"RVBD_0447c","ufaA1"
"RVBD_0448c","-"
"RVBD_0449c","-"
"RVBD_0450c","mmpL4"
"RVBD_0451c","mmpS4"
"RVBD_0452","-"
"RVBD_0453","PPE11"
"RVBD_0454","-"
"RVBD_0454Ac","?"
"RVBD_0455c","-"
"RVBD_0456c","echA2"
"RVBD_0456A","mazF1"
"RVBD_0456Bc","?"
"RVBD_0457c","-"
"RVBD_0458","-"
"RVBD_0459","-"
"RVBD_0460","-"
"RVBD_0461","-"
"RVBD_0462","lpdC"
"RVBD_0463","-"
"RVBD_0464c","-"
"RVBD_0465c","-"
"RVBD_0466","-"
"RVBD_0467","icl1"
"RVBD_0468","fadB2"
"RVBD_0469","umaA"
"RVBD_0470c","pcaA"
"RVBD_0470A","-"
"RVBD_0471c","-"
"RVBD_0472c","-"
"RVBD_0473","-"
"RVBD_0474","-"
"RVBD_0475","hbhA"
"RVBD_0476","-"
"RVBD_0477","-"
"RVBD_0478","deoC"
"RVBD_0479c","-"
"RVBD_0480c","-"
"RVBD_0481c","-"
"RVBD_0482","murB"
"RVBD_0483","lprQ"
"RVBD_0484c","-"
"RVBD_0485","-"
"RVBD_0486","mshA"
"RVBD_0487","-"
"RVBD_0488","-"
"RVBD_0489","gpm1"
"RVBD_0490","senX3"
"RVBD_0491","regX3"
"RVBD_0492c","-"
"RVBD_0492A","-"
"RVBD_0493c","-"
"RVBD_0494","-"
"RVBD_0495c","-"
"RVBD_0496","-"
"RVBD_0497","-"
"RVBD_0498","-"
"RVBD_0499","-"
"RVBD_0500","proC"
"RVBD_0500A","-"
"RVBD_0500B","-"
"RVBD_0501","galE2"
"RVBD_0502","-"
"RVBD_0503c","cmaA2"
"RVBD_0504c","-"
"RVBD_0505c","serB1"
"RVBD_0506","mmpS2"
"RVBD_0507","mmpL2"
"RVBD_0508","-"
"RVBD_0509","hemA"
"RVBD_0510","hemC"
"RVBD_0511","hemD"
"RVBD_0512","hemB"
"RVBD_0513","-"
"RVBD_0514","-"
"RVBD_0515","-"
"RVBD_0516c","-"
